highway,importance_rank,drive_multiplier,drive_eligible,edges,length_km,noise_mean_db,noise_energy_db,noise_median_db,noise_sd_db,noise_min_db,noise_max_db,noise_length_weighted_db,noise_usage_weighted_db,traversals,edges_missing_noise,missing_noise_pct
motorway_link,1,1.0,1,361,8.267,70.23,74.242,72.5,7.382,49.5,82.0,70.921,68.483,28761,0,0.0
motorway,1,1.0,1,359,14.901,70.786,77.935,77.5,11.59,45.0,83.5,70.521,65.791,21876,0,0.0
trunk,2,1.0,1,80,3.779,58.469,66.84,59.25,10.242,24.5,78.0,59.913,57.906,8748,1,1.235
trunk_link,2,1.0,1,18,0.143,66.778,68.442,67.0,4.236,59.0,72.5,67.373,66.627,1006,0,0.0
primary,3,1.0,1,3463,81.935,71.06,72.014,71.0,3.248,45.0,79.0,70.934,71.716,722852,0,0.0
primary_link,3,1.0,1,129,1.93,70.097,71.112,70.0,2.851,64.5,78.0,70.474,72.685,11337,0,0.0
secondary,4,1.0,1,5330,94.121,69.928,70.57,70.0,2.517,52.0,80.0,69.789,70.294,1196816,0,0.0
secondary_link,4,1.0,1,173,1.39,70.211,70.96,70.0,2.528,62.0,76.0,70.153,70.781,7746,0,0.0
tertiary,5,1.0,1,10733,207.919,67.979,68.891,68.0,2.95,35.0,80.0,67.757,68.62,2582357,0,0.0
tertiary_link,5,1.0,1,85,0.599,69.482,70.572,69.5,3.136,63.0,77.0,69.26,70.835,8050,0,0.0
unclassified,6,10000.0,0,790,16.922,53.57,60.83,53.0,9.161,28.0,74.5,53.491,54.623,13053,0,0.0
residential,7,1.5,1,28455,529.045,55.128,61.226,54.0,7.684,19.0,78.0,54.545,57.012,1499329,0,0.0
living_street,8,2.0,1,2062,37.098,52.249,58.342,51.0,6.717,38.0,73.5,51.432,53.918,105244,0,0.0
service,9,2.5,1,11349,176.951,52.913,61.481,52.0,9.765,19.0,77.5,51.557,52.154,378808,8,0.07
footway,,10000.0,0,114897,1478.852,58.764,65.399,61.0,9.815,1.0,81.5,58.139,61.721,5486988,59,0.051
track,,10000.0,0,21542,435.629,39.29,55.761,40.0,12.353,0.5,76.5,39.887,39.794,1470710,1012,4.487
path,,10000.0,0,15868,210.008,44.842,61.47,44.0,14.688,0.5,80.0,47.566,51.925,821898,440,2.698
steps,,10000.0,0,2295,19.271,49.358,60.177,48.0,11.142,8.0,76.5,48.774,51.057,65190,3,0.131
cycleway,,10000.0,0,1065,15.382,64.733,68.6,68.0,9.136,29.0,76.0,63.795,66.367,127116,0,0.0
pedestrian,,10000.0,0,957,11.227,49.687,58.874,47.0,9.831,17.0,73.0,49.623,49.023,23728,48,4.776
construction,,10000.0,0,46,0.802,70.087,74.279,71.0,7.953,41.0,79.0,68.765,71.378,579,0,0.0
corridor,,10000.0,0,32,0.814,39.766,56.302,33.0,14.256,16.5,66.0,38.832,48.191,283,8,20.0
bridleway,,10000.0,0,18,0.46,39.0,43.453,40.5,7.519,29.5,48.0,36.001,39.695,195,0,0.0
platform,,10000.0,0,15,0.276,64.267,65.518,64.5,3.499,59.0,70.0,63.943,63.975,321,0,0.0
